point_id,fire_date,image_date,longitude,latitude,NDVI,NDWI,NBR,NDRE,VV,VH
2024246_+72019+17869,2024-09-02T00:00:00,2024-06-01T00:00:00,72.4060002544321,29.75114106418721,,,,,-7.191053353827391,-15.147931585124994
2024249_+71959+17615,2024-09-05T00:00:00,2024-06-01T00:00:00,72.812392528893,30.604371476093284,,,,,-12.100819266389548,-19.08864498996686
2024252_+71804+17657,2024-09-08T00:00:00,2024-06-01T00:00:00,72.0978979736756,30.462728482812437,,,,,-15.777209852560993,-26.06405679186953
2024252_+71858+17879,2024-09-08T00:00:00,2024-06-01T00:00:00,71.7620950290261,29.708985411425044,,,,,-11.299701488384164,-24.091048337378588
2024252_+71915+17808,2024-09-08T00:00:00,2024-06-01T00:00:00,72.16367149417373,29.953488197445566,,,,,-11.713627575039457,-21.660728833522313
2024254_+71683+17462,2024-09-10T00:00:00,2024-06-01T00:00:00,72.11606627474471,31.12035666590211,,,,,-10.891728216879834,-19.82582128659059
2024254_+71740+17778,2024-09-10T00:00:00,2024-06-01T00:00:00,71.54959088161552,30.054661764074748,,,,,-8.530192841721608,-23.292241442444688
2024254_+71905+17808,2024-09-10T00:00:00,2024-06-01T00:00:00,72.12085565080713,29.953488197445566,,,,,-10.509310613660949,-18.80031111170854
2024254_+72073+17464,2024-09-10T00:00:00,2024-06-01T00:00:00,73.64582944309775,31.117099183643212,,,,,-14.464125990104048,-48.741548828100406
2024254_+72147+17716,2024-09-10T00:00:00,2024-06-01T00:00:00,73.29133477793232,30.26206757566457,,,,,-11.208994618029166,-27.369463641796123
2024254_+72179+17652,2024-09-10T00:00:00,2024-06-01T00:00:00,73.57979768476606,30.4795907439173,,,,,-7.266996381877125,-19.02119531143625
2024254_+72194+17568,2024-09-10T00:00:00,2024-06-01T00:00:00,73.85431593636113,30.762876730479004,,,,,-14.3517629713004,-37.05153709951549
2024254_+72214+17600,2024-09-10T00:00:00,2024-06-01T00:00:00,73.85019920120146,30.649899581076422,,,,,-13.97408240117333,-37.01716228530188
2024254_+72216+17632,2024-09-10T00:00:00,2024-06-01T00:00:00,73.78602205134109,30.546529999047536,,,,,-10.140889393200148,-24.289940780555455
2024254_+72219+17612,2024-09-10T00:00:00,2024-06-01T00:00:00,73.83756574286323,30.61280260664572,,,,,-9.007967461499266,-18.22643970814555
2024254_+72239+17664,2024-09-10T00:00:00,2024-06-01T00:00:00,73.7767927704831,30.43743509115514,,,,,-13.440034798149506,-36.723626805522954
2024254_+72241+17605,2024-09-10T00:00:00,2024-06-01T00:00:00,73.947016126799,30.638095998303015,,,,,-12.244255751287431,-28.939739707186078
2024256_+71735+17642,2024-09-12T00:00:00,2024-06-01T00:00:00,71.8699053256712,30.511629040016537,,,,,-10.539892675705378,-19.495319577707377
2024256_+71900+17795,2024-09-12T00:00:00,2024-06-01T00:00:00,72.1261558352911,29.995643850207724,,,,,-8.882614629710561,-17.459207147512046
2024256_+72224+17657,2024-09-12T00:00:00,2024-06-01T00:00:00,73.74116604939601,30.462728482812437,,,,,-10.343541315680264,-18.357017456522918
2024256_+72236+17632,2024-09-12T00:00:00,2024-06-01T00:00:00,73.84691676338278,30.54535356222626,,,,,-11.816969000257444,-27.658933715951257
2024256_+72333+17484,2024-09-12T00:00:00,2024-06-01T00:00:00,74.62082284289349,31.047547831345746,,,,,-9.72494345860628,-18.592689715636915
2024257_+71821+17783,2024-09-13T00:00:00,2024-06-01T00:00:00,71.84906444721038,30.037799502969882,,,,,-10.879245923998297,-16.711940080421826
2024259_+71557+17180,2024-09-15T00:00:00,2024-06-01T00:00:00,72.35069881024945,32.06632951388494,,,,,-11.972811167197989,-19.49971058091495
2024259_+71633+17340,2024-09-15T00:00:00,2024-06-01T00:00:00,72.23478798966434,31.53010961075029,,,,,-11.797065485523735,-20.995618859999468
2024259_+71764+17872,2024-09-15T00:00:00,2024-06-01T00:00:00,71.41264176241314,29.736582520444546,,,,,-10.41388863222767,-18.989835935078716
2024259_+72083+17457,2024-09-15T00:00:00,2024-06-01T00:00:00,73.70689370290654,31.137218927006977,,,,,-12.42239166929827,-25.46399588747618
2024259_+72140+17736,2024-09-15T00:00:00,2024-06-01T00:00:00,73.21892202667728,30.1963047573556,,,,,-13.77633970157175,-26.33354423244416
2024259_+72182+17548,2024-09-15T00:00:00,2024-06-01T00:00:00,73.85317043783652,30.825267096566993,,,,,-8.9115498117133,-16.85593295846399
2024259_+72199+17518,2024-09-15T00:00:00,2024-06-01T00:00:00,74.00259529108097,30.929813115417154,,,,,-7.973691334475313,-14.233249697702737
2024259_+72199+17570,2024-09-15T00:00:00,2024-06-01T00:00:00,73.86747010067329,30.75444559992657,,,,,-10.782488406908099,-34.99724340986084
2024259_+72207+17602,2024-09-15T00:00:00,2024-06-01T00:00:00,73.81470765567711,30.645515393189154,,,,,-10.17637332470872,-33.98886317748264
2024259_+72221+17597,2024-09-15T00:00:00,2024-06-01T00:00:00,73.88795052201857,30.663389389960308,,,,,-9.7040899829856,-18.25087623643827
2024259_+72229+17630,2024-09-15T00:00:00,2024-06-01T00:00:00,73.8259171954591,30.553784692778695,,,,,-9.087999925354044,-24.14062399672853
2024259_+72234+17595,2024-09-15T00:00:00,2024-06-01T00:00:00,73.93819900525365,30.670134294402256,,,,,-9.5496898131342,-16.176865339107277
2024259_+72241+17657,2024-09-15T00:00:00,2024-06-01T00:00:00,73.83334518180935,30.470868884725135,,,,,-9.1774870100515,-20.908051048833222
2024259_+72256+17612,2024-09-15T00:00:00,2024-06-01T00:00:00,73.98647229188411,30.61280260664572,,,,,-12.293795671457262,-35.719505652444525
2024259_+72263+17630,2024-09-15T00:00:00,2024-06-01T00:00:00,73.96494260090805,30.553784692778695,,,,,-11.434499408551599,-27.338957338053866
2024261_+71930+17827,2024-09-17T00:00:00,2024-06-01T00:00:00,72.16464169078296,29.8877253791366,,,,,-10.350700146481703,-22.595965370190086
2024261_+72231+17565,2024-09-17T00:00:00,2024-06-01T00:00:00,74.00309699703013,30.77632639112217,,,,,-10.642193169859057,-21.280520384231558
2024261_+72241+17659,2024-09-17T00:00:00,2024-06-01T00:00:00,73.80324870490242,30.45429735226,,,,,-8.978033094635865,-17.874312977610288
2024261_+72249+17385,2024-09-17T00:00:00,2024-06-01T00:00:00,74.54578039528086,31.377838283197278,,,,,-9.665832740484491,-21.359409291940445
2024261_+72258+17617,2024-09-17T00:00:00,2024-06-01T00:00:00,73.97751175803528,30.59594034554086,,,,,-9.200858913573501,-17.709690170918545
2024263_+72150+17746,2024-09-19T00:00:00,2024-06-01T00:00:00,73.22681378217509,30.16452588065797,,,,,-12.426908156372745,-19.15067309167926
2024264_+71992+17667,2024-09-20T00:00:00,2024-06-01T00:00:00,72.81035368671036,30.423945282271255,,,,,-10.17058503777629,-22.02226571031238
2024264_+72179+17607,2024-09-20T00:00:00,2024-06-01T00:00:00,73.69365809962282,30.629664867750584,,,,,-9.00548126188315,-19.509730220279543
2024264_+72239+17654,2024-09-20T00:00:00,2024-06-01T00:00:00,73.80624289987723,30.471159613364865,,,,,-9.506071800578848,-15.59527257349688
2024264_+72261+17657,2024-09-20T00:00:00,2024-06-01T00:00:00,73.88201759874346,30.462728482812437,,,,,-9.184555921945034,-18.0595223707295
2024266_+71927+17135,2024-09-22T00:00:00,2024-06-01T00:00:00,73.94810867962536,32.21808986382871,,,,,-14.441298291741926,-33.02130966439741
